No.,Placement ID,X,Y,Angle,Component Name,Place/Adhesive,Mark,Area Bad Mark,Skip,Trial,Layer,Placement Monitor,Machine,Adhe Skip,Adhesive Test,Adhesive Machine
330,D66,115.46,127.72,0,Diode_3600x4400_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
331,D67,115.72,132.14,0,Diode_3600x4400_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
332,D68,113.99,106.03,90,PartNo_SOD523_1000X600_600_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
333,D69,113.99,109.13,90,PartNo_SOD523_1000X600_600_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
334,D70,113.99,111.72,90,PartNo_SOD523_1000X600_600_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
335,D71,117.83,105.09,0,SOT523_800_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
336,D72,117.83,108.64,0,SOT523_800_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
337,D73,117.83,111.69,0,SOT523_800_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
338,D74,120.06,105.09,0,SOT523_800_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
339,D75,120.06,111.69,0,SOT523_800_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
340,D76,120.06,108.64,180,SOT523_800_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
341,D77,122.88,117.36,0,Diode_3600x4400_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
342,D78,122.88,122.79,0,Diode_3600x4400_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
343,D79,122.88,127.72,0,Diode_3600x4400_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
344,D80,122.88,132.14,0,Diode_3600x4400_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
345,D81,122.78,111.69,0,SOT523_800_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
346,D82,122.8,105.09,0,SOT523_800_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
347,D83,122.8,108.64,0,SOT523_800_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
348,D84,127.3,104.28,0,SOT323_900_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
349,D85,127.3,108.24,0,SOT323_900_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
350,D86,127.3,111.69,0,SOT323_900_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
351,D87,129.18,117.33,90,Diode_3600x4400_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
352,D88,129.18,125,90,Diode_3600x4400_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
353,D89,129.18,132.16,90,Diode_3600x4400_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
354,D90,129.99,104.28,0,SOT323_900_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
355,D91,129.99,111.69,0,SOT323_900_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
356,D92,129.99,108.24,180,SOT323_900_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
357,D93,133.19,104.28,0,SOT323_900_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
358,D94,133.19,108.24,0,SOT323_900_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
359,D95,133.19,111.69,0,SOT323_900_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
360,D96,136.39,120.71,180,DIODE_4200X2500_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
361,D97,136.65,125.03,180,DIODE_4200X2500_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
362,D98,136.9,128.84,180,DIODE_4200X2500_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
363,D99,137.16,132.14,180,DIODE_4200X2500_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
364,D100,138.35,103.36,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
365,D101,138.35,107.78,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
366,D102,138.35,111.69,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
367,D103,141.85,103.36,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
368,D104,141.85,111.69,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
369,D105,143.15,120.71,180,DIODE_4200X2500_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
370,D106,143.15,125.03,180,DIODE_4200X2500_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
371,D107,143.15,128.84,180,DIODE_4200X2500_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
372,D108,143.15,132.14,180,DIODE_4200X2500_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
373,D109,141.85,107.78,180,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
374,D110,145.87,103.36,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
375,D111,145.87,107.78,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
376,D112,145.87,111.69,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
377,D113,148.62,184.97,0,SOT23_1000_H01,Place,No,No,No,No,Layer 4,Not used,Auto,No,No,Auto
